Second,Volt
-3.98219990730,0.04800,
-3.98199987411,0.05200,
-3.98179984093,0.04800,
-3.98159980774,0.04800,
-3.98140001297,0.05600,
-3.98119997978,0.04800,
-3.98099994659,0.04800,
-3.98079991341,0.04800,
-3.98059988022,0.04800,
-3.98039984703,0.05200,
-3.98019981384,0.03600,
-3.97999978065,0.02800,
-3.97979998589,0.04000,
-3.97959995270,0.04800,
-3.97939991951,0.04800,
-3.97919988632,0.05200,
-3.97899985313,0.04800,
-3.97879981995,0.04800,
-3.97859978676,0.05600,
-3.97839999199,0.04800,
-3.97819995880,0.04800,
-3.97799992561,0.04800,
-3.97779989243,0.03200,
-3.97759985924,0.03600,
-3.97739982605,0.04800,
-3.97719979286,0.03200,
-3.97699999809,0.04800,
-3.97679996490,0.05600,
-3.97659993172,0.05200,
-3.97639989853,0.05600,
-3.97619986534,0.04800,
-3.97599983215,0.05600,
-3.97579979897,0.05200,
-3.97560000420,0.05200,
-3.97539997101,0.05600,
-3.97519993782,0.05200,
-3.97499990463,0.04800,
-3.97479987144,0.04400,
-3.97459983826,0.05600,
-3.97439980507,0.04800,
-3.97420001030,0.04000,
-3.97399997711,0.04800,
-3.97379994392,0.04800,
-3.97359991074,0.04800,
-3.97339987755,0.04800,
-3.97319984436,0.04800,
-3.97299981117,0.04800,
-3.97280001640,0.04800,
-3.97259998322,0.04800,
-3.97239995003,0.04800,
-3.97219991684,0.04400,
-3.97199988365,0.03600,
-3.97179985046,0.04400,
-3.97159981728,0.04800,
-3.97139978409,0.05600,
-3.97119998932,0.04800,
-3.97099995613,0.04800,
-3.97079992294,0.05200,
-3.97059988976,0.05600,
-3.97039985657,0.04800,
-3.97019982338,0.04800,
-3.96999979019,0.05200,
-3.96979999542,0.05600,
-3.96959996223,0.05600,
-3.96939992905,0.03200,
-3.96919989586,0.05600,
-3.96899986267,0.07200,
-3.96879982948,0.07200,
-3.96859979630,0.05200,
-3.96840000153,0.07600,
-3.96819996834,0.05600,
-3.96799993515,0.04800,
-3.96779990196,0.04800,
-3.96759986877,0.04000,
-3.96739983559,0.04800,
-3.96719980240,0.05600,
-3.96700000763,0.04800,
-3.96679997444,0.04800,
-3.96659994125,0.04400,
-3.96639990807,0.04800,
-3.96619987488,0.04800,
-3.96599984169,0.04800,
-3.96579980850,0.05200,
-3.96560001373,0.04800,
-3.96539998055,0.04800,
-3.96519994736,0.04800,
-3.96499991417,0.04800,
-3.96479988098,0.04800,
-3.96459984779,0.04800,
-3.96439981461,0.05200,
-3.96419978142,0.05200,
-3.96399998665,0.05200,
-3.96379995346,0.05600,
-3.96359992027,0.06000,
-3.96339988708,0.07200,
-3.96319985390,0.07200,
-3.96299982071,0.06000,
-3.96279978752,0.05600,
-3.96259999275,0.04800,
-3.96239995956,0.05200,
-3.96219992638,0.04800,
-3.96199989319,0.04800,
-3.96179986000,0.04800,
-3.96159982681,0.04800,
-3.96139979362,0.04800,
-3.96119999886,0.04000,
-3.96099996567,0.06800,
-3.96079993248,0.06800,
-3.96059989929,0.04800,
-3.96039986610,0.05600,
-3.96019983292,0.04000,
-3.95999979973,0.05200,
-3.95980000496,0.04400,
-3.95959997177,0.04400,
-3.95939993858,0.05200,
-3.95919990540,0.04800,
-3.95899987221,0.04400,
-3.95879983902,0.04800,
-3.95859980583,0.05600,
-3.95840001106,0.04800,
-3.95819997787,0.05200,
-3.95799994469,0.04800,
-3.95779991150,0.04800,
-3.95759987831,0.05200,
-3.95739984512,0.04800,
-3.95719981194,0.04400,
-3.95700001717,0.05200,
-3.95679998398,0.05200,
-3.95659995079,0.05200,
-3.95639991760,0.04800,
-3.95619988441,0.04800,
-3.95599985123,0.04800,
-3.95579981804,0.05200,
-3.95559978485,0.04800,
-3.95539999008,0.05200,
-3.95519995689,0.06800,
-3.95499992371,0.05600,
-3.95479989052,0.04800,
-3.95459985733,0.04800,
-3.95439982414,0.04800,
-3.95419979095,0.04800,
-3.95399999619,0.04400,
-3.95379996300,0.05200,
-3.95359992981,0.04800,
-3.95339989662,0.05200,
-3.95319986343,0.06000,
-3.95299983025,0.05600,
-3.95279979706,0.07600,
-3.95260000229,0.05600,
-3.95239996910,0.05600,
-3.95219993591,0.03600,
-3.95199990273,0.04800,
-3.95179986954,0.04800,
-3.95159983635,0.03200,
-3.95139980316,0.04800,
-3.95120000839,0.05600,
-3.95099997520,0.04800,
-3.95079994202,0.05600,
-3.95059990883,0.05200,
-3.95039987564,0.04800,
-3.95019984245,0.04800,
-3.94999980927,0.04800,
-3.94980001450,0.04800,
-3.94959998131,0.05200,
-3.94939994812,0.05200,
-3.94919991493,0.04800,
-3.94899988174,0.05600,
-3.94879984856,0.04800,
-3.94859981537,0.04800,
-3.94839978218,0.04800,
-3.94819998741,0.05200,
-3.94799995422,0.05600,
-3.94779992104,0.04800,
-3.94759988785,0.05200,
-3.94739985466,0.04800,
-3.94719982147,0.04800,
-3.94699978828,0.04800,
-3.94679999352,0.04000,
-3.94659996033,0.03600,
-3.94639992714,0.03200,
-3.94619989395,0.05200,
-3.94599986076,0.04400,
-3.94579982758,0.04800,
-3.94559979439,0.04800,
-3.94539999962,0.04800,
-3.94519996643,0.04800,
-3.94499993324,0.05200,
-3.94479990005,0.04400,
-3.94459986687,0.06800,
-3.94439983368,0.03200,
-3.94419980049,0.02000,
-3.94400000572,0.03200,
-3.94379997253,0.04000,
-3.94359993935,0.05600,
-3.94339990616,0.03600,
-3.94319987297,0.04800,
-3.94299983978,0.05600,
-3.94279980659,0.04800,
-3.94260001183,0.05600,
-3.94239997864,0.04800,
-3.94219994545,0.04800,
-3.94199991226,0.05200,
-3.94179987907,0.05600,
-3.94159984589,0.05600,
-3.94139981270,0.05600,
-3.94120001793,0.04800,
-3.94099998474,0.04800,
-3.94079995155,0.05600,
-3.94059991837,0.05200,
-3.94039988518,0.04400,
-3.94019985199,0.04800,
-3.93999981880,0.04800,
-3.93979978561,0.05200,
-3.93959999084,0.05200,
-3.93939995766,0.05200,
-3.93919992447,0.05600,
-3.93899989128,0.05600,
-3.93879985809,0.05200,
-3.93859982491,0.04000,
-3.93839979172,0.04800,
-3.93819999695,0.04800,
-3.93799996376,0.04800,
-3.93779993057,0.05200,
-3.93759989738,0.04400,
-3.93739986420,0.05200,
-3.93719983101,0.04800,
-3.93699979782,0.04800,
-3.93680000305,0.05200,
-3.93659996986,0.05200,
-3.93639993668,0.05600,
-3.93619990349,0.04400,
-3.93599987030,0.02400,
-3.93579983711,0.04800,
-3.93559980392,0.05200,
-3.93540000916,0.06800,
-3.93519997597,0.07200,
-3.93499994278,0.05600,
-3.93479990959,0.05200,
-3.93459987640,0.05600,
-3.93439984322,0.05600,
-3.93419981003,0.05600,
-3.93400001526,0.04400,
-3.93379998207,0.05600,
-3.93359994888,0.05200,
-3.93339991570,0.04800,
-3.93319988251,0.04800,
-3.93299984932,0.04800,
-3.93279981613,0.04800,
-3.93259978294,0.05200,
-3.93239998817,0.04400,
-3.93219995499,0.04800,
-3.93199992180,0.05200,
-3.93179988861,0.04800,
-3.93159985542,0.05200,
-3.93139982224,0.05200,
-3.93119978905,0.04800,
-3.93099999428,0.05200,
-3.93079996109,0.04800,
-3.93059992790,0.04400,
-3.93039989471,0.04400,
-3.93019986153,0.04000,
-3.92999982834,0.04400,
-3.92979979515,0.06000,
-3.92960000038,0.06000,
-3.92939996719,0.06000,
-3.92919993401,0.05600,
-3.92899990082,0.05600,
-3.92879986763,0.05600,
-3.92859983444,0.05200,
-3.92839980125,0.04400,
-3.92820000648,0.05200,
