Measurement,Real Time (us),Elapsed Time (us)
398,397.06,398
399,398.06,399
400,399.06,400
401,400.06,401
402,401.06,403
403,402.06,403
404,403.06,404
405,404.06,405
406,405.06,406
407,406.06,407
408,407.06,409
409,408.06,409
410,409.06,410
411,410.06,411
412,411.06,412
413,412.06,414
414,413.06,414
415,414.06,415
416,415.06,416
417,416.06,417
418,417.06,418
419,418.06,420
420,419.06,420
421,420.06,421
422,421.06,422
423,422.06,423
424,423.06,425
425,424.06,425
426,425.06,426
427,426.06,427
428,427.06,428
429,428.06,429
430,429.06,431
431,430.06,431
432,431.06,432
433,432.06,433
434,433.06,434
435,434.06,436
436,435.06,436
437,436.06,437
438,437.06,438
439,438.06,439
440,439.06,440
441,440.06,442
442,441.06,442
443,442.06,443
444,443.06,444
445,444.06,445
446,445.06,447
447,446.06,447
448,447.06,448
449,448.06,449
450,449.06,450
451,450.06,451
452,451.06,453
453,452.06,453
454,453.06,454
455,454.06,455
456,455.06,456
457,456.06,458
458,457.06,458
459,458.06,459
460,459.06,460
461,460.06,461
462,461.06,462
463,462.06,464
464,463.06,464
465,464.06,465
466,465.06,466
467,466.06,467
468,467.06,469
469,468.06,469
470,469.06,470
471,470.06,471
472,471.06,472
473,472.06,473
474,473.06,475
475,474.06,475
476,475.06,476
477,476.06,477
478,477.06,478
479,478.06,480
480,479.06,480
481,480.06,481
482,481.06,482
483,482.06,483
484,483.06,484
485,484.06,486
486,485.06,486
487,486.06,487
488,487.06,488
489,488.06,489
490,489.06,491
491,490.06,491
492,491.06,492
493,492.06,493
494,493.06,494
495,494.06,495
496,495.06,497
497,496.06,497
498,497.06,498
499,498.06,499
500,499.06,500
