Time (s),Channel 1 (V)
297.95,2.283733792537952
297.95625,2.283733792537939
297.9625,2.28019861166245
297.96875,2.280198611662443
297.975,2.280198611662443
297.98125,2.280198611662443
297.9875,2.280198611662443
297.99375,2.280198611662443
298,2.280198611662443
298.00625,2.280198611662443
298.0125,2.276663430786935
298.01875,2.276663430786935
298.025,2.276663430786935
298.03125,2.276663430786935
298.0375,2.276663430786935
298.04375,2.276663430786935
298.05,2.276663430786922
298.05625,2.273128249911433
298.0625,2.273128249911433
298.06875,2.276663430786922
298.075,2.273128249911426
298.08125,2.273128249911426
298.0875,2.273128249911426
298.09375,2.273128249911426
298.1,2.273128249911426
298.10625,2.273128249911426
298.1125,2.273128249911426
298.11875,2.273128249911426
298.125,2.273128249911426
298.13125,2.273128249911426
298.1375,2.273128249911426
298.14375,2.273128249911426
298.15,2.273128249911426
298.15625,2.273128249911426
298.1625,2.273128249911426
298.16875,2.273128249911426
298.175,2.273128249911426
298.18125,2.273128249911426
298.1875,2.273128249911426
298.19375,2.273128249911426
298.2,2.273128249911426
298.20625,2.273128249911426
298.2125,2.273128249911426
298.21875,2.273128249911426
298.225,2.273128249911426
298.23125,2.273128249911426
298.2375,2.273128249911426
298.24375,2.273128249911426
298.25,2.273128249911426
298.25625,2.273128249911426
298.2625,2.273128249911426
298.26875,2.273128249911426
298.275,2.273128249911426
298.28125,2.273128249911426
298.2875,2.273128249911426
298.29375,2.273128249911426
298.3,2.273128249911426
298.30625,2.273128249911426
298.3125,2.273128249911426
298.31875,2.273128249911426
298.325,2.273128249911426
298.33125,2.273128249911426
298.3375,2.273128249911426
298.34375,2.273128249911426
298.35,2.273128249911426
298.35625,2.273128249911426
298.3625,2.273128249911426
298.36875,2.273128249911426
298.375,2.273128249911426
298.38125,2.273128249911426
298.3875,2.273128249911426
298.39375,2.273128249911426
298.4,2.273128249911426
298.40625,2.273128249911426
298.4125,2.273128249911426
298.41875,2.276663430786935
298.425,2.273128249911426
298.43125,2.273128249911426
298.4375,2.273128249911426
298.44375,2.273128249911426
298.45,2.273128249911426
298.45625,2.273128249911426
298.4625,2.273128249911426
298.46875,2.273128249911426
298.475,2.273128249911426
298.48125,2.273128249911426
298.4875,2.273128249911426
298.49375,2.273128249911426
298.5,2.273128249911426
298.50625,2.273128249911426
298.5125,2.273128249911426
298.51875,2.273128249911426
298.525,2.273128249911426
298.53125,2.273128249911426
298.5375,2.273128249911426
298.54375,2.273128249911426
298.55,2.273128249911426
298.55625,2.273128249911426
298.5625,2.273128249911426
298.56875,2.273128249911426
298.575,2.273128249911426
298.58125,2.273128249911426
298.5875,2.273128249911426
298.59375,2.273128249911426
298.6,2.273128249911426
298.60625,2.273128249911426
298.6125,2.273128249911426
298.61875,2.273128249911426
298.625,2.273128249911426
298.63125,2.273128249911426
298.6375,2.273128249911426
298.64375,2.273128249911426
298.65,2.273128249911426
298.65625,2.273128249911426
298.6625,2.273128249911426
298.66875,2.273128249911426
298.675,2.273128249911426
298.68125,2.273128249911426
298.6875,2.273128249911426
298.69375,2.273128249911426
298.7,2.273128249911426
298.70625,2.273128249911426
298.7125,2.273128249911426
298.71875,2.273128249911426
298.725,2.273128249911426
298.73125,2.273128249911426
298.7375,2.273128249911426
298.74375,2.273128249911426
298.75,2.273128249911426
298.75625,2.273128249911426
298.7625,2.273128249911426
298.76875,2.273128249911426
298.775,2.273128249911426
298.78125,2.273128249911426
298.7875,2.273128249911426
298.79375,2.273128249911426
298.8,2.269593069035918
298.80625,2.269593069035918
298.8125,2.269593069035918
298.81875,2.269593069035918
298.825,2.269593069035918
298.83125,2.269593069035918
298.8375,2.269593069035918
298.84375,2.269593069035918
298.85,2.269593069035918
298.85625,2.269593069035918
298.8625,2.269593069035905
298.86875,2.266057888160415
298.875,2.266057888160409
298.88125,2.266057888160409
298.8875,2.266057888160409
298.89375,2.266057888160409
298.9,2.266057888160409
298.90625,2.266057888160409
298.9125,2.266057888160409
298.91875,2.266057888160409
298.925,2.269593069035918
298.93125,2.269593069035918
298.9375,2.269593069035912
298.94375,2.266057888160422
298.95,2.266057888160409
298.95625,2.266057888160422
298.9625,2.269593069035912
298.96875,2.269593069035912
298.975,2.266057888160422
298.98125,2.266057888160409
298.9875,2.266057888160422
298.99375,2.269593069035912
299,2.269593069035912
299.00625,2.266057888160422
299.0125,2.266057888160409
299.01875,2.266057888160422
299.025,2.269593069035912
299.03125,2.269593069035918
299.0375,2.269593069035918
299.04375,2.269593069035918
299.05,2.269593069035905
299.05625,2.266057888160415
299.0625,2.269593069035912
299.06875,2.266057888160422
299.075,2.266057888160409
299.08125,2.266057888160422
299.0875,2.269593069035912
299.09375,2.269593069035918
299.1,2.269593069035918
299.10625,2.269593069035918
299.1125,2.266057888160409
299.11875,2.266057888160409
299.125,2.266057888160415
299.13125,2.269593069035905
299.1375,2.269593069035918
299.14375,2.269593069035905
299.15,2.266057888160415
299.15625,2.266057888160409
299.1625,2.266057888160409
299.16875,2.269593069035918
299.175,2.266057888160409
299.18125,2.266057888160409
299.1875,2.266057888160409
299.19375,2.266057888160409
299.2,2.269593069035918
299.20625,2.266057888160409
299.2125,2.266057888160409
299.21875,2.266057888160409
299.225,2.266057888160409
299.23125,2.269593069035918
299.2375,2.269593069035905
299.24375,2.266057888160415
299.25,2.269593069035918
299.25625,2.269593069035918
299.2625,2.269593069035918
299.26875,2.269593069035918
299.275,2.269593069035918
299.28125,2.269593069035912
299.2875,2.266057888160422
299.29375,2.269593069035918
299.3,2.269593069035918
299.30625,2.269593069035918
299.3125,2.269593069035918
299.31875,2.269593069035918
299.325,2.266057888160409
299.33125,2.269593069035931
299.3375,2.27312824991142
299.34375,2.269593069035918
299.35,2.269593069035918
299.35625,2.273128249911426
299.3625,2.269593069035918
299.36875,2.269593069035918
299.375,2.27312824991142
299.38125,2.269593069035931
299.3875,2.266057888160409
299.39375,2.269593069035918
299.4,2.269593069035918
299.40625,2.266057888160415
299.4125,2.269593069035905
299.41875,2.269593069035918
299.425,2.266057888160409
299.43125,2.266057888160409
299.4375,2.269593069035918
299.44375,2.269593069035918
299.45,2.266057888160409
299.45625,2.266057888160422
299.4625,2.269593069035912
299.46875,2.266057888160409
299.475,2.266057888160409
299.48125,2.269593069035918
299.4875,2.269593069035892
299.49375,2.262522707284913
299.5,2.266057888160415
299.50625,2.269593069035905
299.5125,2.269593069035918
299.51875,2.266057888160396
299.525,2.262522707284907
299.53125,2.266057888160415
299.5375,2.269593069035905
299.54375,2.266057888160409
299.55,2.262522707284901
299.55625,2.262522707284901
299.5625,2.269593069035918
299.56875,2.269593069035918
299.575,2.262522707284901
299.58125,2.258987526409405
299.5875,2.262522707284894
299.59375,2.269593069035918
299.6,2.269593069035918
299.60625,2.262522707284901
